restaurant_id,area,city,name,price,avg_rating,total_ratings,food_type,address,delivery_time_min,primary_cuisine,delivery_pressure,rating_weakness,review_uncertainty,attention_score,attention_tier
414589,Banjara Hills,Hyderabad,Zouq Fusion Foods,800.0,2.8,20,Turkish,Banjara Hills,83,Turkish,0.9916279069767442,0.9944186046511628,0.9176744186046512,97.7813953488372,Priority
164991,Uppal,Hyderabad,Maggi Bowl,200.0,2.7,20,Fast Food,Prashant Nagar,71,Fast Food,0.9102325581395349,0.995813953488372,0.9176744186046512,94.16744186046512,Priority
415326,Banjara Hills,Hyderabad,Kulfi & Falooda Project,200.0,2.7,20,"Desserts,Snacks,Beverages,Healthy Food",Banjara Hills,67,Desserts,0.8441860465116279,0.995813953488372,0.9176744186046512,91.1953488372093,Priority
310222,Malkajgiri,Hyderabad,Inti Bhojnam,300.0,3.3,20,South Indian,Tarnaka  Nacharam & Malkajigiri,82,South Indian,0.9888372093023255,0.6916279069767441,0.9176744186046512,87.05813953488372,Priority
450292,Vanasthalipuram,Hyderabad,Manna Millet Restaurant,150.0,2.9,80,South Indian,Vanasthalipuram,92,South Indian,1.0,0.8539534883720931,0.5911627906976744,86.71162790697676,Priority
1299,Film Nagar,Hyderabad,So. The Sky Kitchen,800.0,2.9,80,"Mughlai,North Indian,Chinese,Thai,Asian",Near Apollo Health City Gate,90,Mughlai,0.9990697674418604,0.8539534883720931,0.5911627906976744,86.66976744186047,Priority
413190,Tolichowki,Hyderabad,Cane Land,150.0,2.9,80,Snacks  Beverages,Tolichowki,88,Snacks  Beverages,0.998139534883721,0.8539534883720931,0.5911627906976744,86.6279069767442,Priority
379359,Tarnaka Nacharam & Malkajigiri,Hyderabad,Maharashtrian Kitchen,200.0,2.9,80,Maharashtrian,Tarnaka Nacharam & Malkajigiri,87,Maharashtrian,0.9972093023255814,0.8539534883720931,0.5911627906976744,86.58604651162791,Priority
359119,Peerzadiguda,Hyderabad,Biryani Blend Family Restaurant,300.0,2.9,80,"Biryani,Chinese,North Indian",Uppal,85,Biryani,0.9953488372093025,0.8539534883720931,0.5911627906976744,86.50232558139535,Priority
289368,Tolichowki,Hyderabad,The Frozen Village,300.0,2.9,80,Desserts,Tolichowki,84,Desserts,0.9939534883720932,0.8539534883720931,0.5911627906976744,86.43953488372094,Priority
442197,AS Rao Nagar / Sainikpuri,Hyderabad,Balaji Mohanlal Mithai Bhandar,200.0,2.9,80,Sweets,A.S. Rao Nagar & Sainikpuri,84,Sweets,0.9939534883720932,0.8539534883720931,0.5911627906976744,86.43953488372094,Priority
406023,Tolichowki Hps Kids School Opposite,Hyderabad,Healthy Food House,100.0,2.9,80,Indian  Fast Food  Beverages,Tolichowki,83,Indian  Fast Food  Beverages,0.9916279069767442,0.8539534883720931,0.5911627906976744,86.33488372093024,Priority
356261,Tolichowki,Hyderabad,Pizza Store,300.0,2.9,80,"Fast Food,Pizzas",Tolichowki,81,Fast Food,0.9865116279069768,0.8539534883720931,0.5911627906976744,86.10465116279072,Priority
456121,Charminar,Hyderabad,Mashallah Bait Al Mandi The Arabian Restaurant,1600.0,2.9,80,North Indian,Aramghar & Sivarampally,79,North Indian,0.984186046511628,0.8539534883720931,0.5911627906976744,86.00000000000001,Priority
439357,Secunderabad,Hyderabad,Snack Sutra,200.0,2.9,80,Fast Food  Snacks  Beverages,Secunderabad,79,Fast Food  Snacks  Beverages,0.984186046511628,0.8539534883720931,0.5911627906976744,86.00000000000001,Priority
400765,Kothapet / Dilsukhnagar,Hyderabad,Monster Burger,200.0,3.2,20,"Chinese,South Indian,Snacks,Combo,Beverages,Desserts",Kothapet & Dilsukhnagar,75,Chinese,0.9553488372093024,0.7,0.9176744186046512,85.84418604651162,Priority
438779,Tolichowki,Hyderabad,Khiljis Castle,250.0,2.9,80,"Arabian,Snacks,Fast Food",Tolichowki,78,Arabian,0.9804651162790696,0.8539534883720931,0.5911627906976744,85.83255813953488,Priority
448830,Banjara Hills,Hyderabad,Filful Shawarma,250.0,2.9,80,"Snacks,Lebanese",Banjara Hills,78,Snacks,0.9804651162790696,0.8539534883720931,0.5911627906976744,85.83255813953488,Priority
226467,Kharkhana & Trimulgherry,Hyderabad,Brown Bear,250.0,3.4,20,Bakery  Desserts,Kharkhana & Trimulgherry,76,Bakery  Desserts,0.9646511627906976,0.6804651162790698,0.9176744186046512,85.57906976744185,Priority
421563,Begumpet,Hyderabad,Kgf Italian Wood Fire Pizza,300.0,2.9,80,Italian  Pizzas,Begumpet,77,Italian  Pizzas,0.9734883720930232,0.8539534883720931,0.5911627906976744,85.5186046511628,Priority
458110,Banjara Hills,Hyderabad,Punjab National Hotel,800.0,2.9,80,"Punjabi,North Indian",Banjara Hills,77,Punjabi,0.9734883720930232,0.8539534883720931,0.5911627906976744,85.5186046511628,Priority
323803,Lb Nagar,Hyderabad,Sri Venkateshwara Tiffin'S,300.0,2.9,80,North Indian,Lb Nagar,77,North Indian,0.9734883720930232,0.8539534883720931,0.5911627906976744,85.5186046511628,Priority
407346,Tarnaka Nacharam & Malkajigiri,Hyderabad,Punjabi Tadka,250.0,2.9,80,"Indian,Punjabi,Fast Food",Tarnaka Nacharam & Malkajigiri,77,Indian,0.9734883720930232,0.8539534883720931,0.5911627906976744,85.5186046511628,Priority
452847,Ameerpet,Hyderabad,Sonu De Snacks,150.0,2.9,80,Pizzas  North Indian  Fast Food,Ameerpet,77,Pizzas  North Indian  Fast Food,0.9734883720930232,0.8539534883720931,0.5911627906976744,85.5186046511628,Priority
409017,Ameerpet,Hyderabad,Shree Sweets And Naamkeen,499.0,2.9,80,Sweets,Ameerpet,76,Sweets,0.9646511627906976,0.8539534883720931,0.5911627906976744,85.12093023255815,Priority
410943,Tolichowki,Hyderabad,Shawarma Spot,200.0,2.9,80,Arabian,Tolichowki,76,Arabian,0.9646511627906976,0.8539534883720931,0.5911627906976744,85.12093023255815,Priority
422079,Banjara Hills,Hyderabad,Momos Momos,220.0,2.9,80,Fast Food,Banjara Hills,75,Fast Food,0.9553488372093024,0.8539534883720931,0.5911627906976744,84.70232558139536,Priority
438064,Tolichowki,Hyderabad,Treat On The Street,250.0,2.9,80,"Pizzas,Fast Food,Pastas,Snacks,Italian,Desserts,North Indian,Indian",Tolichowki,75,Pizzas,0.9553488372093024,0.8539534883720931,0.5911627906976744,84.70232558139536,Priority
190848,Bowenpally,Hyderabad,Trio-La Patisserie.,300.0,2.9,80,Desserts,Kharkhana & Trimulgherry,75,Desserts,0.9553488372093024,0.8539534883720931,0.5911627906976744,84.70232558139536,Priority
415623,Ameerpet,Hyderabad,Coastal Chops,300.0,2.9,80,Coastal  Indian  Seafood,Ameerpet,75,Coastal  Indian  Seafood,0.9553488372093024,0.8539534883720931,0.5911627906976744,84.70232558139536,Priority
449730,Tolichowki,Hyderabad,Sam Icecreame And Chat Center,120.0,2.9,80,Beverages  Ice Cream  Salads,Tolichowki,75,Beverages  Ice Cream  Salads,0.9553488372093024,0.8539534883720931,0.5911627906976744,84.70232558139536,Priority
449319,Tarnaka Nacharam & Malkajigiri,Hyderabad,Hotel Tamilnaadu,100.0,2.9,80,South Indian,Tarnaka  Nacharam & Malkajigiri,75,South Indian,0.9553488372093024,0.8539534883720931,0.5911627906976744,84.70232558139536,Priority
10730,Banjara Hills,Hyderabad,Radisson Blu Plaza Delivery,1200.0,3.7,20,"Chinese,Biryani,North Indian",Road No 6,82,Chinese,0.9888372093023255,0.6102325581395349,0.9176744186046512,84.20930232558139,Priority
451957,Tolichowki,Hyderabad,Frost N Roll,400.0,2.9,80,"Ice Cream,Beverages,Fast Food",Tolichowki,74,Ice Cream,0.944186046511628,0.8539534883720931,0.5911627906976744,84.2,Priority
388141,Uppal,Hyderabad,Cafe De Gardenia,360.0,2.9,80,Chinese  Indian  Biryani,Uppal,74,Chinese  Indian  Biryani,0.944186046511628,0.8539534883720931,0.5911627906976744,84.2,Priority
381153,Banjara Hills,Hyderabad,The Bedford Bakehouse And Tearoom,500.0,2.9,80,Continental,Banjara Hills,74,Continental,0.944186046511628,0.8539534883720931,0.5911627906976744,84.2,Priority
437688,Secunderabad,Hyderabad,Grab A Bowl,200.0,2.9,80,North Indian  South Indian  Healthy Food  Juices,Secunderabad,74,North Indian  South Indian  Healthy Food  Juices,0.944186046511628,0.8539534883720931,0.5911627906976744,84.2,Priority
454099,Ameerpet,Hyderabad,The Tim Cafe,200.0,2.9,80,Snacks  Mexican  Pizzas  Italian,Ameerpet,74,Snacks  Mexican  Pizzas  Italian,0.944186046511628,0.8539534883720931,0.5911627906976744,84.2,Priority
400882,Banjara Hills,Hyderabad,The Clay Pot,300.0,2.9,80,North Indian,Banjara Hills,74,North Indian,0.944186046511628,0.8539534883720931,0.5911627906976744,84.2,Priority
435409,Bhavani Nagar Uppal - Hyderabad,Hyderabad,Super Naturals,250.0,2.9,80,Beverages,Tarnaka Nacharam & Malkajigiri,74,Beverages,0.944186046511628,0.8539534883720931,0.5911627906976744,84.2,Priority
454287,Ameerpet,Hyderabad,Assr Enterprises,250.0,2.9,80,Beverages,Ameerpet,74,Beverages,0.944186046511628,0.8539534883720931,0.5911627906976744,84.2,Priority
326294,New Gayatri Nagar,Hyderabad,Special Cakes,200.0,2.9,80,Desserts,Kothapet & Dilsukhnagar,74,Desserts,0.944186046511628,0.8539534883720931,0.5911627906976744,84.2,Priority
352022,Ameerpet,Hyderabad,Surprise India - Online Cake Delivery,200.0,3.7,20,Bakery,Ameerpet,78,Bakery,0.9804651162790696,0.6102325581395349,0.9176744186046512,83.83255813953487,Priority
423548,Ameerpet,Hyderabad,Hans Kitchen,350.0,2.9,80,Chinese  North Indian,Ameerpet,73,Chinese  North Indian,0.932093023255814,0.8539534883720931,0.5911627906976744,83.65581395348838,Priority
402881,Kothapet / Dilsukhnagar,Hyderabad,Urban Monk Fine Baking,600.0,2.9,80,Fast Food,Kothapet & Dilsukhnagar,73,Fast Food,0.932093023255814,0.8539534883720931,0.5911627906976744,83.65581395348838,Priority
455957,Ameerpet,Hyderabad,Sri Sai Tiffins And Chat,250.0,2.9,80,South Indian,Ameerpet,73,South Indian,0.932093023255814,0.8539534883720931,0.5911627906976744,83.65581395348838,Priority
452843,Ameerpet,Hyderabad,Raagam Foods,300.0,2.9,80,Biryani,Ameerpet,73,Biryani,0.932093023255814,0.8539534883720931,0.5911627906976744,83.65581395348838,Priority
452070,Kothapet / Dilsukhnagar,Hyderabad,Military Xpress,300.0,2.9,80,South Indian,Kothapet & Dilsukhnagar,73,South Indian,0.932093023255814,0.8539534883720931,0.5911627906976744,83.65581395348838,Priority
211172,Uppal,Hyderabad,Tif In,150.0,3.5,20,Snacks  South Indian,Uppal Beerappagada,73,Snacks  South Indian,0.932093023255814,0.6646511627906977,0.9176744186046512,83.56046511627908,Priority
395773,Kothapet / Dilsukhnagar,Hyderabad,Wah! Kulcha,200.0,3.7,20,Fast Food,Kothapet & Dilsukhnagar,77,Fast Food,0.9734883720930232,0.6102325581395349,0.9176744186046512,83.51860465116279,Priority
407004,Kothapet / Dilsukhnagar,Hyderabad,Reddy Vari Biryani,250.0,2.9,80,"Indian,Biryani",Kothapet & Dilsukhnagar,72,Indian,0.9204651162790698,0.8539534883720931,0.5911627906976744,83.13255813953488,Priority
436226,Tolichowki,Hyderabad,Abu Faisal Restaurant Arabian Food,600.0,2.9,80,"Indian,Desserts",Tolichowki,72,Indian,0.9204651162790698,0.8539534883720931,0.5911627906976744,83.13255813953488,Priority
429719,Tarnaka Nacharam & Malkajigiri,Hyderabad,House Of Biryani,350.0,2.9,80,Indian  Biryani,Tarnaka  Nacharam & Malkajigiri,72,Indian  Biryani,0.9204651162790698,0.8539534883720931,0.5911627906976744,83.13255813953488,Priority
390912,Begumpet,Hyderabad,Ice Cream Corner,200.0,2.9,80,Indian,Prakash Nagar,72,Indian,0.9204651162790698,0.8539534883720931,0.5911627906976744,83.13255813953488,Priority
451922,Ameerpet,Hyderabad,Babai Tiffins And Carries,200.0,2.9,80,South Indian,Ameerpet,72,South Indian,0.9204651162790698,0.8539534883720931,0.5911627906976744,83.13255813953488,Priority
413647,Banjara Hills,Hyderabad,The Sandwich Story,200.0,2.9,80,"Healthy Food,Snacks",Banjara Hills,72,Healthy Food,0.9204651162790698,0.8539534883720931,0.5911627906976744,83.13255813953488,Priority
435400,Uppal - Hyderabad,Hyderabad,Shakesphere,250.0,2.9,80,"Beverages,Fast Food",Tarnaka Nacharam & Malkajigiri,72,Beverages,0.9204651162790698,0.8539534883720931,0.5911627906976744,83.13255813953488,Priority
413059,Banjara Hills,Hyderabad,Healing Rice Bowls,200.0,3.3,20,North Indian,Banjara Hills,70,North Indian,0.9013953488372092,0.6916279069767441,0.9176744186046512,83.12325581395348,Priority
444253,Ameerpet,Hyderabad,Sricanth Dhaba,280.0,3.2,20,Indian  Chinese,Ameerpet,69,Indian  Chinese,0.8869767441860466,0.7,0.9176744186046512,82.76744186046511,Priority
357811,Brindavan Colony,Hyderabad,Leos Kitchen,350.0,2.9,80,"South Indian,North Indian",Santoshnagar & Saidabad,71,South Indian,0.9102325581395349,0.8539534883720931,0.5911627906976744,82.67209302325583,Priority
451612,Tarnaka Nacharam & Malkajigiri,Hyderabad,Yummy And Cakes Fast Food,200.0,2.9,80,Bakery  Snacks,Tarnaka  Nacharam & Malkajigiri,71,Bakery  Snacks,0.9102325581395349,0.8539534883720931,0.5911627906976744,82.67209302325583,Priority
291308,Ameerpet,Hyderabad,Hd Restaurant,150.0,3.5,20,South Indian  Chinese  Fast Food  Desserts  Beverages,Ameerpet,71,South Indian  Chinese  Fast Food  Desserts  Beverages,0.9102325581395349,0.6646511627906977,0.9176744186046512,82.57674418604653,Priority
453201,Tarnaka Nacharam & Malkajigiri,Hyderabad,Sm Cake O Clock Bakers,400.0,2.9,80,Bakery  Fast Food,Tarnaka  Nacharam & Malkajigiri,70,Bakery  Fast Food,0.9013953488372092,0.8539534883720931,0.5911627906976744,82.27441860465117,Priority
372536,Ameerpet,Hyderabad,Hungry Burger,200.0,2.9,80,Chinese,Ameerpet,70,Chinese,0.9013953488372092,0.8539534883720931,0.5911627906976744,82.27441860465117,Priority
201959,Banjara Hills,Hyderabad,Ohri'S Uppu,400.0,3.0,20,"Andhra,South Indian",Banjara Hills,68,Andhra,0.8665116279069768,0.7111627906976744,0.9176744186046512,82.23720930232558,Priority
364600,Kothapet,Hyderabad,Ae-Spice Villa,380.0,3.0,20,"Indian,Fast Food",Kothapet & Dilsukhnagar,68,Indian,0.8665116279069768,0.7111627906976744,0.9176744186046512,82.23720930232558,Priority
349963,Uppal,Hyderabad,Kailas Food Centre,99.0,2.9,80,South Indian,Uppal,69,South Indian,0.8869767441860466,0.8539534883720931,0.5911627906976744,81.62558139534885,Priority
364813,Banjara Hills,Hyderabad,Best Pasta,600.0,2.9,80,Pastas,Banjara Hills,69,Pastas,0.8869767441860466,0.8539534883720931,0.5911627906976744,81.62558139534885,Priority
23633,Gaddi Annaram,Hyderabad,Hungry Kya Pet Barlo,300.0,2.9,80,"Street Food,South Indian",Gaddi Annaram,69,Street Food,0.8869767441860466,0.8539534883720931,0.5911627906976744,81.62558139534885,Priority
414555,Kothapet / Dilsukhnagar,Hyderabad,Hungry Treats,200.0,2.9,80,"Mexican,Pizzas,Pastas",Kothapet & Dilsukhnagar,69,Mexican,0.8869767441860466,0.8539534883720931,0.5911627906976744,81.62558139534885,Priority
421659,Banjara Hills,Hyderabad,Mf Biryani And Shawarma,250.0,2.9,80,Biryani,Banjara Hills,69,Biryani,0.8869767441860466,0.8539534883720931,0.5911627906976744,81.62558139534885,Priority
428704,Kothapet / Dilsukhnagar,Hyderabad,As Bakers,1400.0,2.9,80,"Bakery,Desserts",Kothapet & Dilsukhnagar,69,Bakery,0.8869767441860466,0.8539534883720931,0.5911627906976744,81.62558139534885,Priority
439603,Uppal,Hyderabad,Biryani Zone,280.0,2.9,80,"Biryani,Chinese,Indian,Snacks,Arabian,Combo",Uppal,69,Biryani,0.8869767441860466,0.8539534883720931,0.5911627906976744,81.62558139534885,Priority
364812,Banjara Hills,Hyderabad,Blenders & Coolers,600.0,2.9,80,"Beverages,Juices",Banjara Hills,69,Beverages,0.8869767441860466,0.8539534883720931,0.5911627906976744,81.62558139534885,Priority
440405,Uppal,Hyderabad,The Sandwich Box,300.0,2.9,80,"Continental,Snacks",Uppal,69,Continental,0.8869767441860466,0.8539534883720931,0.5911627906976744,81.62558139534885,Priority
443564,Banjara Hills,Hyderabad,Mendys Panipuri,300.0,2.9,80,"Street Food,Chaat",Banjara Hills,69,Street Food,0.8869767441860466,0.8539534883720931,0.5911627906976744,81.62558139534885,Priority
442044,Vanasthalipuram,Hyderabad,The Manufactory Shakes,200.0,2.9,80,Beverages,Vanasthalipuram,69,Beverages,0.8869767441860466,0.8539534883720931,0.5911627906976744,81.62558139534885,Priority
361397,Sanjeeva Reddy Nagar,Hyderabad,Wowffles,400.0,3.7,50,Desserts  Bakery,Sr Nagar,79,Desserts  Bakery,0.984186046511628,0.6102325581395349,0.7832558139534884,81.31162790697675,Priority
409662,Tolichowki,Hyderabad,Mandistan,400.0,3.6,20,Arabian,Tolichowki,69,Arabian,0.8869767441860466,0.6446511627906977,0.9176744186046512,80.83023255813954,Priority
380796,Tolichowki,Hyderabad,Galaxy Paradise,250.0,3.6,20,"Biryani,Chinese",Tolichowki,69,Biryani,0.8869767441860466,0.6446511627906977,0.9176744186046512,80.83023255813954,Priority
443102,Kothapet / Dilsukhnagar,Hyderabad,Fries.Com,300.0,2.9,80,"Chinese,Bakery,Beverages",Kothapet & Dilsukhnagar,68,Chinese,0.8665116279069768,0.8539534883720931,0.5911627906976744,80.70465116279071,Priority
387971,Banjara Hills,Hyderabad,Just Bake Banjarahills,150.0,2.9,80,Bakery  Desserts  Fast Food,Banjara Hills,68,Bakery  Desserts  Fast Food,0.8665116279069768,0.8539534883720931,0.5911627906976744,80.70465116279071,Priority
434563,Kothapet / Dilsukhnagar,Hyderabad,Santrupti Restaurant,400.0,2.9,80,"South Indian,North Indian,Biryani",Kothapet & Dilsukhnagar,68,South Indian,0.8665116279069768,0.8539534883720931,0.5911627906976744,80.70465116279071,Priority
408696,Charminar,Hyderabad,Tajis Food Court,2.0,2.9,80,Indian  South Indian  Chinese  Arabian,Charminar,68,Indian  South Indian  Chinese  Arabian,0.8665116279069768,0.8539534883720931,0.5911627906976744,80.70465116279071,Priority
364660,Banjara Hills,Hyderabad,Pange'S Pizza,600.0,2.9,80,Pizzas,Banjara Hills,68,Pizzas,0.8665116279069768,0.8539534883720931,0.5911627906976744,80.70465116279071,Priority
